title,structure,focus,contact,basedIn,actingIn,OT:Tech for Good,OT:Funder,OT:Education,OT:Human Rights,OT:Research,OT:Other,DF:Access to Justice,DF:Citizenship,DF:Free Press / Exp,DF:Identity Provision,DF:Marg Rights,DF:Net Neutrality,DF:O Govt / Transp,DF:Participate / Vote ,DF:Privacy / Security,DF:Transparent £,DF:Broad / Other,DF:N/A,TF:AI,TF:App / DAPP / Web,TF:Block / Arch,TF:Crowd / Map,TF:Exp Use / Educate,TF:Open Source,TF:Tech Fund,TF:Telephony,TF:Online Learn,TF:Broad / Other,TF:N/A,about,activities,notes,url
Factual,Not For Profit,Tech / Democracy,melissajryan@gmail.com,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
factual.ro,Not For Profit,Tech / Democracy,facts@factual.ro,Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freedom House,Not For Profit,Tech / Democracy,info@freedomhouse.org,"Washington, New York, USA",Global,,,,TRUE,TRUE,,,,,,,,,,,,TRUE,,,TRUE,,,,TRUE,,,,TRUE,,"Freedom House is an independent watchdog organization dedicated to the expansion of freedom and democracy around the world. We analyze the challenges to freedom, advocate for greater political rights and civil liberties, and support frontline activists to defend human rights and promote democratic change. We recognize that freedom is possible only in democratic political environments where governments are accountable to their own people; the rule of law prevails; and freedoms of expression, association, and belief, as well as respect for the rights of minorities and women, are guaranteed. More than 2.5 billion people live in countries that Freedom House designates “Not Free,” more than a third of the globe’s population. 90% of funding from the US govt",,,https://freedomhouse.org/
Fundacion Karisma,Not For Profit,Tech / Democracy,,"Bogotá, Colombia",Global,TRUE,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,TRUE,,"The Karisma Foundation is a civil society organization that seeks to respond to the threats and opportunities posed by ""technology for development"" to the exercise of human rights. The organization develops its activities from perspectives that promote freedom of expression and gender and social equity. Karisma works from activism incorporating multiple perspectives -legal and technological- in coalitions with local, regional and international partners.",,,https://karisma.org.co/innovacion-y-tecnologia-social/
Georgia Tech School of Public Policy,University,Tech / Democracy,,"Georgia, USA","Georgia, USA",,,TRUE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,"Situated within one of the world's premier technological universities, the Georgia Tech School of Public Policy works to define and shape the discourse around global public policies.  Our research and curriculum focus on understanding the global impact of science, technology and innovation on society, and nurture transdisciplinary leaders who can analyze and make ethically-informed decisions in the public interest.  Recognizing the vital diversity of perspectives in a culturally- and technologically-evolving society, we endeavor to make a positive impact on the most challenging human issues of our time.",,,https://spp.gatech.edu/contact
Global Network Initiative,Charity,Tech / Democracy,info@globalnetworkinitiative.org,"Washington, USA",Global,,,,,,TRUE,,,TRUE,,,,,,TRUE,,,,,,,,,,,TRUE,,TRUE,,"Every day, in almost every country in the world, technology companies receive requests from governments to censor content, restrict access to communications services, or hand over user data. Given this reality, how can technology companies best respect the rights of their users – wherever they operate? The Global Network Initiative was launched in 2008 to address this question. A unique multi-stakeholder platform, GNI was the product of more than two years of deliberation by companies, human rights and press freedom organizations, academics, and investors.",,,https://globalnetworkinitiative.org/
GOVLAB,Not For Profit,Tech / Democracy,http://www.thegovlab.org/contact.html,"New York, USA",Global,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,,FALSE,,,FALSE,TRUE,TRUE,FALSE,,TRUE,FALSE,,,FALSE,,FALSE,TRUE,,FALSE,,,FALSE,Changing people's lives and transforming governance around the world through deepening our understanding of how to govern more effectively and legitimately through technology.,"Strengthens ability of institutions to work more collaboratively and legitimately by developing and testing prototypes. Provides information and analysis about governance innovations. Trains entrepreneurs to tackle public interest challenges. Builds networks of innovators from across disciplines to deepen understanding and develop frameworks ",Based in US. Funded by large corporates and charitable foundations.,http://www.thegovlab.org/contact.html
GovTrack,Not For Profit,Tech / Democracy,https://www.govtrack.us/contact,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.govtrack.us/?mod=article_inline
Hack for Sweden,Not For Profit,Tech / Democracy,info@hackforsweden.se,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://hackforsweden.se/
IDEE.PARIS,Government,Tech / Democracy,,"Paris, France","Paris, France",TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,"Accessible to all, Idee.paris is an open participation platform that encourages broad citizen participation. Through mobilization campaigns, it encourages citizens of Paris to co-build municipal projects and interact with each other. Idee.paris is an interactive platform. All projects posted are accompanied by contextualization, geolocated events, news, sometimes videos; and open to the exchange between Internet users via comments. All content can be shared on social networks.",,,https://www.paris.fr/participez/proposer-et-debattre/madame-la-maire-j-ai-une-idee-3971
IFEX,Not For Profit,Tech / Democracy,https://ifex.org/assets/form/contactform.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ifex.org//
Index,Not For Profit,Tech / Democracy,https://www.indexoncensorship.org/contact/,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.indexoncensorship.org/campaigns/
Indigo Trust,Charity,Tech / Democracy,indigo@sfct.org.uk,UK,Africa,TRUE,TRUE,,,,,TRUE,TRUE,TRUE,,,,TRUE,,,,TRUE,,,,,,,TRUE,,,,TRUE,,"The Indigo Trust is a UK-based grant making foundation that works to create a world of active, informed citizens and responsive, accountable governments that together drive positive change in society. It is part of the Sainsbury Family Charitable Trusts (SFCT).",,,https://indigotrust.org.uk
Inrupt,For-profit,Tech / Democracy,info@inrupt.com,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.inrupt.com/
Institute for Technology and Society of Rio,University,Tech / Democracy,its@itsrio.org,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internet & Jurisdiction Policy Network,Other,Tech / Democracy,https://www.internetjurisdiction.net/about/contact,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Internet & Jurisdiction Policy Network is a multistakeholder organization addressing the tension between the cross-border nature of the internet and national jurisdictions. Its Paris-based Secretariat facilitates a global policy process between key stakeholders to enable transnational cooperation and policy coherence.,,,
Internet Sans Frontières,Charity,Tech / Democracy,contact@internetsansfrontieres.org,"Paris, France",Global,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,TRUE,,,FALSE,FALSE,,FALSE,,TRUE,FALSE,,,FALSE,,FALSE,,,FALSE,,TRUE,FALSE,"Internet Sans Frontières is a French association under the 1901 law, and an international network of non-governmental organizations whose objective is to promote the free flow of information and knowledge, to defend digital rights and freedoms and to fight against all forms of censorship on connected networks",,,https://internetwithoutborders.org/
Internet Society,Not For Profit,Tech / Democracy,isoc@isoc.org,"USA / Switzerland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Working for an open, globally-connected, secure, and trustworthy Internet for everyone.",,,
InternetLab,University,Tech / Democracy,dennys@internetlab.org.br,Brasil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NTERNETLAB is an independent research center that aims to foster academic debate around issues involving law and technology, especially internet policy. Our goal is to conduct interdisciplinary impactful research and promote dialogue among academics, professionals and policymakers. We follow an entrepreneurial nonprofit model, which embraces our pursuit of producing scholarly research in the manner and spirit of an academic think tank. As a nexus of expertise in technology, public policy and social sciences, our research agenda covers a wide range of topics, including privacy, freedom of speech, gender and technology.",,,http://www.internetlab.org.br/en/
MapLight,Not For Profit,Tech / Democracy,info@maplight.org,USA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Illuminate the influence of money in politics. MapLight’s online tools and research bring transparency to government data and put a spotlight on the outsize influence of money in politics so that journalists and advocacy groups can hold lawmakers accountable. ,,,https://maplight.org/
Media Matters for Democracy,Not For Profit,Tech / Democracy,http://mediamatters.pk/contact-us/,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Media Matters for Democracy works to defend freedom of expression, media, Internet, and communications in Pakistan. The main premise of our work is to push for a truly independent and inclusive media and cyberspace where the citizens in general, and journalists in specific, can exercise their fundamental rights and professional duties safely and without the fear of persecution or physical harm. We undertake various initiatives including but not limited to training, policy research, advocacy, movement building and strategic litigation to further our organisational goals. We also work on acceptance and integration of digital media and journalism technologies and towards creating sustainable ‘media-tech’ initiatives in the country.",,,http://mediamatters.pk/contact-us/
Meedan,For-profit,Tech / Democracy,hello@meedan.com,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Meedan builds digital tools for global journalism and translation. We are a team of designers, technologists and journalists who focus on open source investigation of digital media and crowdsourced translation of social media. With commercial, media and university partners, we support research, curriculum development, and new forms of digital storytelling.",,,
Monitorizare Vot,Not For Profit,Tech / Democracy,vot@code4.ro,Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Voting Monitoring is a Code for Romania project. Our goal is to develop an IT tool through which election observers can easily and quickly forward their referrals to the accredited NGO. In addition, we offer citizens a very easy platform where they can be heard when they have an irregularity in the elections. We want to encourage people to get involved in the electoral process, to make the right choices throughout the country. Project partners: EFOR , Geeks for Democracy , Funky Citizens , Electoral Observatory , Civic Resource Center, and Center for the Study of Democracy",,,
Mozilla Festival,Not For Profit,Tech / Democracy,festival@mozilla.org,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://mozillafestival.org/speakers
My Reps,Not For Profit,Tech / Democracy,info@datamade.us,USA,USA,TRUE,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,"This is a tool for looking up who your elected representatives are across the United States. Based on your address, we can find all the federal, state, county and local officials who represent you in government. Knowing who these representatives are and contacting their offices directly is the most effective way to change how our government works. Have an issue you care about? Find your rep and tell them!",,,http://myreps.datamade.us/?mod=article_inline
National Democratic Institute,Not For Profit,Tech / Democracy,https://www.ndi.org/what-we-do/democracy-and-technology,"Washington, USA",Global,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,,,FALSE,,,FALSE,TRUE,TRUE,FALSE,,TRUE,FALSE,,,FALSE,,FALSE,,,FALSE,,TRUE,FALSE,Working to promote openness and accountability in government by strengthening political and civic organisations and promoting citizen participation. ,"Organises debates, monitors elections. Use technology to improve transparency and accountability and increase citizen participation. Works on the principle that democracy is a human right.",Established 1983. Works right across the globe. Chaired by Madelaine Albright. Grant? Conference?,https://www.ndi.org/what-we-do/democracy-and-technology
Never Again Silicon Valley Pledge,Not For Profit,Tech / Democracy,,USA,Global,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,,FALSE,,TRUE,FALSE,FALSE,,TRUE,,,FALSE,,,FALSE,,FALSE,,,FALSE,,TRUE,FALSE,"Committing information technology workers to work against the intentions of a US government database identifying people by race, religion or national origin. ",Refuses to collect or offer up data to contribute to the US government's initiative to create a 'Muslim registry' and deport millions of illegal immigrants.,,https://neveragain.tech/
New Democracy Foundation,Not For Profit,Tech / Democracy,https://d4dcoalition.org/join-us/,"NSW, Australia",Global,,,,,TRUE,TRUE,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,TRUE,,"newDemocracy is an independent, non-partisan research and development organisation. We aim to discover, develop, demonstrate, and promote complementary alternatives which will restore trust in public decision making.",,,https://d4dcoalition.org/
Nominet Trust,Charity,Tech / Democracy,https://socialtechtrust.org/contact/,"Oxford, UK",UK,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,,FALSE,,TRUE,FALSE,,,FALSE,,FALSE,,,FALSE,,TRUE,FALSE,"Leading, enabling and investing in social tech whilst thinking differently about the relationship between tech and society.","Brands itself as the UK’s leading social tech funder, bringing together, investing in and supporting people making imaginative use of technology to address complex social challenges. Publishes the annual Nominet Trust 100 and the Social Tech Guide.",Est. 2008                         NT100 celebrates Tech for Good initiatives - a good way to find projects to support?,https://socialtechtrust.org/
Open Culture Foundation,Not For Profit,Tech / Democracy,hi@ocf.tw,"Taipei City, Taiwan",Taiwan,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,,FALSE,,TRUE,FALSE,,,FALSE,,FALSE,TRUE,,FALSE,,FALSE,FALSE,"The Open Culture Foundation (OCF), is a nonpartisan, nonprofit organization, founded in 2014 by several members of Taiwan’s open source community. Our main goal is to support local communities advocate the use of open technologies in broader sectors, including open source software, open hardware, and open data. We help government, enterprises, and NGOs better understand the benefits of adopting open source,and promote the importance of open data to the public sphere. We believe that a culture of open collaboration is the foundation for an innovative society, and the engine of a participatory democracy.",,,https://ocf.tw/en/
Open Data Inventory,Not For Profit,Tech / Democracy,info@opendatawatch.com ,"Washington, DC, USA",Global,TRUE,,,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,"The Open Data Inventory (ODIN) assesses the coverage and openness of official statistics to help identify gaps, promote open data policies, improve access, and encourage dialogue between national statistical offices (NSOs) and data users. ODIN 2017 includes 180 countries, including most all OECD countries. Two-year comparisons are for all countries with two years of data between 2015-2017. Scores can be compared across topics and countries. Explore the results on the ODIN website or download the scores for further analysis.",,,http://odin.opendatawatch.com/
Open Knowledge Germany,Not For Profit,Tech / Democracy,https://okfn.org/contact/,Germany,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,"We are an independent not-for-profit organisation based in Berlin, Germany. Our work at OKF DE goes beyond Germany since we consider ourselves as an active part of both German and European civil society. Open knowledge helps citizens to obtain information and enables informed opinion-making. It generates societal and economic value and is, in our view, indispensable for a functioning democracy. We strive to make open knowledge an integral component of the modern world, online as well as offline. This includes: better government, better education, better access to culture, better research and science and better economy. You can read more on how this translates into our projects here",,,
Open Knowledge International,Not For Profit,Tech / Democracy,,"London, UK",Global,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,"We believe open knowledge can empower everyone, enabling people to work together to tackle local and global challenges, understand our world, expose inefficiency, challenge inequality and hold governments and companies to account.",,,https://okfn.org/
Open Net Korea,,Tech / Democracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open Secrets,Not For Profit,Tech / Democracy,,"Washington, USA",USA,TRUE,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,TRUE,,"Nonpartisan, independent and nonprofit, the Center for Responsive Politics is the nation's premier research group tracking money in U.S. politics and its effect on elections and public policy. OUR VISION is for Americans to be empowered by access to clear and unbiased information about money’s role in politics and policy and to use that knowledge to strengthen our democracy. OUR MISSION is to produce and disseminate peerless data and analysis on money in politics to inform and engage Americans, champion transparency, and expose disproportionate or undue influence on public policy.",,,https://www.opensecrets.org/?mod=article_inline
Open Technology Fund,,Tech / Democracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open Technology Institute (OTI) at New America,,Tech / Democracy,,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.newamerica.org/oti/about/
Oxford Internet Institute,University,Tech / Democracy,,"Oxford, UK",Global,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,,FALSE,,,FALSE,FALSE,,FALSE,,TRUE,FALSE,,,FALSE,,FALSE,,,FALSE,,TRUE,FALSE,"A multidisciplinary research and teaching department of the University of Oxford, dedicated to the social science of the Internet.",,,https://www.oii.ox.ac.uk/
ParliamentWatch,,Tech / Democracy,,Uganda,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
People's Assembly,,Tech / Democracy,,South Africa,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,https://www.pa.org.za/
PwC,For-profit,Tech / Democracy,,"London, UK",Global,,,,,TRUE,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,our purpose is to build trust in society and solve important problems. It is this focus which informs the services we provide and the decisions we make. ,,,
Ragtag,Charity,Tech / Democracy,,"San Francisco, USA",USA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE,FALSE,,,FALSE,,,FALSE,,FALSE,,,FALSE,,TRUE,FALSE,"Volunteer team of technologists, political organisers and activitis building progressive change from the ground up","Campaign helpdesk, digital tools, virtual conference ",Worked with March for our Lives - Potential Partner? ,https://ragtag.org/
Rahvaalgatus,Not For Profit,Tech / Democracy,,"Tallinn, Estonia",Estonia,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,"Do you have an idea how to improve our social life? Want to discuss how to change a law? Through this platform, you can prepare and submit to the Riigikogu collective appeals of at least 1,000 digital signatures and to monitor if the initiatives are legal acts.",,,https://rahvaalgatus.ee/
ShineYourEye,,Tech / Democracy,,Nigeria,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
TheyWorkForYou,Charity,Tech / Democracy,,UK,UK,TRUE,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,TRUE,,"You shouldn’t have to be an expert to understand what goes on in Parliament. Your politicians represent you… but what exactly do they do in your name? TheyWorkForYou takes open data from the UK Parliament, and presents it in a way that’s easy to follow – for everyone. So now you can check, with just a few clicks: are They Working For You?",,,https://www.theyworkforyou.com/
TunnelBear,,Tech / Democracy,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tunnelbear.com/
U Report,Not For Profit,Tech / Democracy,,Uganda,Global,TRUE,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,TRUE,,TRUE,,"U-Report is a social messaging tool that is free to everyone, wherever you are in the world, to speak out on development issues, support child rights and improve our communities",,,
UN,Intergovernmental agency.,Tech / Democracy,,Global,Global,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,,FALSE,,,FALSE,FALSE,,FALSE,,TRUE,FALSE,,,TRUE,,FALSE,,,FALSE,,TRUE,FALSE,"Using technology, including blockchain, to improve the lives and increase the power of displaced and disadvantaged people across the world.","A free virtual learning platform, 'We Learn', to deliver skills development pathways for disadvantaged women and girls to acquire 21st century digital, technical, professional and life skills. Blockchain for delivering services, including proof of identity (ID2020 Alliance), cash replacements in refugee camps in Jordan (Building Blocks), conflict settings. Unicef - gamers to mine ethereum for Syrian children",Academy & Case Studies,http://www.un.org/en/index.html
United Nations Democracy Fund,Other,Tech / Democracy,,"New York, USA",Global,,TRUE,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,"UNDEF is a trust fund in the UN Secretariat that empowers civil society, promotes human rights, and encourages the participation of all groups in democratic processes. The large majority of UNDEF funding goes to projects implemented local civil society organizations -- both in the transition and consolidation phases of democratization. In this way, UNDEF plays a novel and unique role in complementing the UN's other, more traditional work -- the work with Governments -- to strengthen democratic governance around the world. UNDEF subsists entirely on voluntary contributions from Governments; in 2017, it reached almost 182 million dollars in contributions and counts more than 40 countries as donors, including many middle- and low-income States in Africa, Asia and Latin America. ",,,https://www.un.org/democracyfund/
Witness,Not For Profit,Tech / Democracy,,"New York, USA",Global,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,,TRUE,,,TRUE,TRUE,,FALSE,,,FALSE,,,FALSE,,TRUE,,,FALSE,TRUE,TRUE,FALSE,Supporting people to use video and technology in their fight for human rights.,"Identifies critical situations and trains people affected by them the basics of video production, ethical filming techniques, and advocacy strategies to make their case for change.",Grant partner? Founded by Richard Branson in 2017.,https://witness.org/
World Wide Web Foundation,Not For Profit,Tech / Democracy,,"USA / United Kingdom / South Africa / Indonesia",Global,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,,TRUE,,,TRUE,TRUE,,TRUE,,TRUE,FALSE,,,TRUE,,FALSE,,,FALSE,,TRUE,FALSE,Working for a world where everyone has the same rights and opportunities online helping to unlock the web for millions of people.,Works from a series of hubs across the world to influence policy and develop an open web as a public good and a basic right.,"Access to IT. Founded by Tim Berners-Lee, founder of the web.",https://webfoundation.org/
